#x, y, z, sqrtSum, milliseconds, timeInMilliseconds
9.78523, -0.766909, -0.183022, 9.81694, 84, 83
9.80095, -0.771416, -0.201885, 9.83333, 85, 85
9.81965, -0.766908, -0.211705, 9.85183, 82, 82
9.83236, -0.770666, -0.201161, 9.86457, 86, 85
9.82311, -0.75206, -0.211694, 9.85413, 83, 83
9.80769, -0.769162, -0.208678, 9.84001, 85, 85
9.79198, -0.763902, -0.205648, 9.82388, 85, 86
9.78225, -0.772919, -0.193574, 9.81464, 81, 80
9.79196, -0.769915, -0.186798, 9.82396, 85, 85
9.81291, -0.763904, -0.193604, 9.8445, 85, 85
9.82862, -0.759396, -0.205682, 9.86006, 83, 84
9.82219, -0.759969, -0.213985, 9.85387, 85, 84
9.81069, -0.7624, -0.216974, 9.84266, 83, 82
9.79722, -0.777426, -0.206405, 9.83018, 85, 85
9.78899, -0.763151, -0.202629, 9.82078, 83, 83
9.78195, -0.760325, -0.180743, 9.81312, 85, 85
9.8174, -0.773672, -0.195115, 9.84977, 83, 83
9.82489, -0.763904, -0.206432, 9.8567, 85, 85
9.81817, -0.775923, -0.221504, 9.85127, 83, 83
9.81292, -0.754888, -0.205668, 9.84406, 86, 86
9.79842, -0.758071, -0.199607, 9.82973, 82, 82
9.79318, -0.771594, -0.194323, 9.82545, 85, 85
9.79468, -0.753563, -0.195834, 9.82557, 84, 84
9.80019, -0.778179, -0.189821, 9.83287, 82, 82
9.82609, -0.767838, -0.20491, 9.85818, 93, 99
9.83311, -0.774422, -0.210963, 9.86582, 76, 70
9.80964, -0.773097, -0.207156, 9.84224, 84, 84
9.79244, -0.767837, -0.204878, 9.82464, 83, 82
9.78047, -0.765583, -0.196574, 9.81236, 85, 85
9.79467, -0.780611, -0.1898, 9.82756, 85, 85
9.81114, -0.760325, -0.204142, 9.84267, 82, 82
9.8216, -0.771596, -0.192842, 9.85375, 83, 83
9.8376, -0.764655, -0.211721, 9.86955, 85, 85
9.82115, -0.755639, -0.213969, 9.8525, 86, 86
9.79394, -0.773096, -0.208649, 9.82662, 82, 82
9.78869, -0.771595, -0.189042, 9.82087, 83, 83
9.78794, -0.776102, -0.191302, 9.82053, 85, 86
9.80216, -0.761076, -0.196595, 9.83362, 84, 83
9.82534, -0.752812, -0.202648, 9.85623, 84, 84
9.81936, -0.770093, -0.19661, 9.85147, 83, 82
9.83059, -0.765584, -0.212454, 9.86264, 85, 86
9.8074, -0.764832, -0.207154, 9.83936, 84, 84
9.79272, -0.757893, -0.199617, 9.82403, 83, 84
9.7999, -0.764833, -0.189806, 9.83154, 94, 94
9.8029, -0.770844, -0.192825, 9.83505, 75, 74
9.82385, -0.770092, -0.203399, 9.85609, 84, 84
9.82655, -0.748482, -0.202635, 9.8571, 84, 87
9.8186, -0.764834, -0.190578, 9.85019, 82, 80
9.80889, -0.749806, -0.201125, 9.83956, 85, 84
9.79318, -0.757319, -0.195833, 9.82437, 85, 84
9.79618, -0.770091, -0.203374, 9.82851, 83, 83
9.79514, -0.771021, -0.19808, 9.82744, 83, 83
9.81785, -0.757321, -0.189824, 9.84885, 86, 86
9.82806, -0.757497, -0.208667, 9.85941, 83, 83
9.81982, -0.757498, -0.201874, 9.85106, 86, 87
9.81114, -0.771594, -0.204142, 9.84355, 81, 81
9.78618, -0.745474, -0.215415, 9.8169, 85, 85
9.78692, -0.780787, -0.200333, 9.82006, 84, 84
9.79916, -0.767087, -0.194329, 9.83106, 83, 84
9.79515, -0.774777, -0.201095, 9.8278, 83, 83
9.82085, -0.758072, -0.195104, 9.852, 86, 86
9.81188, -0.755065, -0.204898, 9.84303, 83, 83
9.81383, -0.761255, -0.187543, 9.84509, 85, 85
9.80664, -0.755066, -0.196599, 9.83763, 84, 84
9.78693, -0.755993, -0.213153, 9.8184, 84, 84
9.79738, -0.779285, -0.196573, 9.83029, 83, 83
9.80815, -0.770092, -0.204893, 9.84046, 84, 85
9.81235, -0.772524, -0.202619, 9.84479, 83, 83
9.82131, -0.760504, -0.193581, 9.85261, 85, 85
9.81759, -0.762756, -0.213935, 9.8495, 83, 82
9.7929, -0.768766, -0.203356, 9.82514, 85, 86
9.79441, -0.765009, -0.212405, 9.82653, 83, 83
9.79245, -0.776101, -0.208648, 9.82537, 82, 82
9.81309, -0.77027, -0.197343, 9.84525, 85, 85
9.81908, -0.771773, -0.205642, 9.85151, 85, 86
9.82581, -0.762757, -0.208664, 9.85758, 82, 82
9.80787, -0.764258, -0.212418, 9.83989, 86, 86
9.79963, -0.766512, -0.205624, 9.83172, 83, 83
9.79617, -0.773097, -0.19885, 9.82864, 85, 85
9.79813, -0.751487, -0.195822, 9.82886, 83, 83
9.79784, -0.770449, -0.184496, 9.82981, 83, 83
9.81159, -0.761255, -0.19508, 9.84301, 88, 89
9.81953, -0.759931, -0.189795, 9.85072, 81, 80
9.81683, -0.754492, -0.204133, 9.8479, 84, 84
9.79889, -0.763507, -0.207886, 9.83079, 85, 84
9.7974, -0.762755, -0.216932, 9.82944, 83, 83
9.81159, -0.782292, -0.194324, 9.84465, 84, 85
9.81384, -0.749233, -0.202623, 9.84448, 83, 83
9.80934, -0.769519, -0.190554, 9.84132, 83, 82
9.82804, -0.762007, -0.18831, 9.85933, 85, 85
9.81384, -0.758249, -0.201114, 9.84514, 85, 86
9.79738, -0.762005, -0.194313, 9.82889, 82, 82
9.79964, -0.75975, -0.209394, 9.83127, 84, 84
9.79364, -0.760502, -0.197325, 9.82511, 85, 84
9.81683, -0.753741, -0.202625, 9.84781, 84, 84
